date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:20	73918/73918	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2000:13:19%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/Resources	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Resources.html	(from https://en.wikibooks.org/wiki/X86_Assembly/SSE)
02:13:20	121243/121243	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2020:47:39%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/GNU_assembly_syntax	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/GNU_assembly_syntax.html	(from https://en.wikibooks.org/wiki/X86_Assembly/GAS_Syntax)
02:13:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/50%25.svg/9px-50%25.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/c/c2/50%.svg/9px-50%.svg.1d.delayed	(from https://en.wikibooks.org/wiki/X86_Assembly/Resources)
02:13:21	103648/103648	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2000:13:20%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/FASM_Syntax	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/FASM_Syntax.html	(from https://en.wikibooks.org/wiki/X86_Assembly/MASM_Syntax)
02:13:21	314/314	---M--	200	added ('OK')	image/png	etag:28d58ad3325dd2f96d1daab4a6f3919d	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/50%25.svg/9px-50%25.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/c/c2/50%.svg/9px-50%.svg.png	(from https://en.wikibooks.org/wiki/X86_Assembly/Resources)
02:13:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/25%25.svg/9px-25%25.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/3/34/25%.svg/9px-25%.svg.1f.delayed	(from https://en.wikibooks.org/wiki/X86_Assembly/Resources)
02:13:22	312/312	---M--	200	added ('OK')	image/png	etag:0ee82855e9478173ac7f5187916c17a5	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/25%25.svg/9px-25%25.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/3/34/25%.svg/9px-25%.svg.png	(from https://en.wikibooks.org/wiki/X86_Assembly/Resources)
02:13:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/00%25.svg/9px-00%25.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/d/d6/00%.svg/9px-00%.svg.21.delayed	(from https://en.wikibooks.org/wiki/X86_Assembly/Resources)
02:13:23	288/288	---M--	200	added ('OK')	image/png	etag:da877f823e9512079ae901266aba9c78	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/00%25.svg/9px-00%25.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/d/d6/00%.svg/9px-00%.svg.png	(from https://en.wikibooks.org/wiki/X86_Assembly/Resources)
02:13:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Emblem-important.svg/40px-Emblem-important.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Emblem-important.svg/40px-Emblem-important.svg.23.delayed	(from https://en.wikibooks.org/wiki/X86_Assembly/FASM_Syntax)
02:13:23	2052/2052	---M--	200	added ('OK')	image/png	etag:5547e730be86179cbeed101d082eb585	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Emblem-important.svg/40px-Emblem-important.svg.png	D:/websites/wikibooks/wikibooks_asm/upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Emblem-important.svg/40px-Emblem-important.svg.png	(from https://en.wikibooks.org/wiki/X86_Assembly/FASM_Syntax)
